FID,F1,经度,纬度,WGS84经度,WGS84纬度,
544,黔南布依族苗族自治州三都水族自治县坝街乡坝辉村,108.102692000000000,25.869202999999999,108.091898000000000,25.866026000000002,苗族|布依族|水族
545,黔南布依族苗族自治州三都水族自治县都江镇怎雷村,108.120840000000000,25.941814000000001,108.110085000000000,25.938480999999999,苗族|布依族|水族
546,黔南布依族苗族自治州三都水族自治县拉揽乡排烧村,107.992788000000000,25.960072000000000,107.982218000000000,25.957038000000001,苗族|布依族|水族
547,曲靖市会泽县娜姑镇白雾村,103.199966000000000,26.489621000000000,103.191670000000000,26.486795000000001,
548,曲靖市罗平县鲁布革布依族苗族乡罗斯村委腊者村,104.479412000000000,24.745322000000002,104.470501000000000,24.742448000000000,苗族|布依族
549,玉溪市元江县青龙厂镇它克村,102.030907000000000,23.823816999999998,102.022917000000010,23.820388999999999,汉族|彝族
550,保山市隆阳区板桥镇板桥村,99.232265999999996,25.181135999999999,99.224981999999997,25.177876999999999,回族|苗族|彝族|白族|傣族
551,保山市施甸县姚关镇山邑村,99.202884999999995,24.623013000000000,99.195455999999993,24.620163999999999,彝族|佤族|布朗族
552,保山市腾冲县固东镇和平村,98.486956000000006,25.280965999999999,98.480046000000002,25.278026000000001,佤族
553,保山市腾冲县固东镇顺利村,98.492309000000006,25.273734000000001,98.485428999999996,25.270730000000000,
554,保山市腾冲县和顺镇水碓村,98.469579999999993,25.011959999999998,98.462564999999998,25.009131000000000,
555,昭通市威信县水田乡湾子苗寨村,105.275757000000000,27.775784999999999,105.266039000000010,27.773150000000001,
556,丽江市古城区大东乡大东行政村,100.405974000000000,27.153853000000002,100.398061000000000,27.151302999999999,纳西族
557,丽江市古城区金山乡贵峰村,100.304150000000010,26.795781000000002,100.296494000000000,26.793182999999999,白族|傈僳族|纳西族
558,丽江市古城区金山乡漾西村,100.281328000000000,26.803871999999998,100.273619000000000,26.801635000000001,白族|傈僳族|纳西族
559,丽江市古城区七河乡共和西关村,100.276509000000000,26.754615000000001,100.268822000000000,26.752440000000000,白族|纳西族
560,丽江市宁蒗县永宁乡落水村,100.780835000000000,27.684483000000000,100.773084000000000,27.681854999999999,苗族|彝族
561,丽江市永胜县期纳镇谷宇村,100.612337999999990,26.296111000000000,100.604793000000000,26.293977999999999,
562,丽江市永胜县期纳镇清水村,100.656782000000010,26.401844000000001,100.649234000000010,26.399486000000000,
563,丽江市玉龙县白沙乡白沙村,100.222511000000000,26.959976000000001,100.214931000000010,26.957293000000000,
564,丽江市玉龙县宝山乡石头城村,100.433395000000000,27.473668000000000,100.425620000000000,27.470690999999999,
565,丽江市玉龙县石头乡桃园村,99.839946999999995,26.798456000000002,99.832493999999997,26.795843000000001,白族
566,普洱市江城县整董镇城子三寨村,101.514202000000000,22.488277000000000,101.506279000000010,22.485009000000002,瑶族
567,普洱市景东县大街乡三营村,101.032875000000000,24.373577000000001,101.024983000000010,24.370222999999999,
568,普洱市景东县文井镇清凉村梁家组,100.889602000000000,24.397539999999999,100.881979000000000,24.394781999999999,
569,普洱市澜沧县酒井哈尼族乡勐根村老达保组,99.990668999999997,22.354624000000001,99.983198000000002,22.351527000000001,哈尼族
570,普洱市墨江县联珠镇碧溪古镇村,101.700461000000000,23.504636999999999,101.692460999999990,23.501666000000000,
571,普洱市墨江县那哈乡牛红村委勐嘎村,101.811128000000000,23.176960999999999,101.803147000000000,23.173973000000000,哈尼族
572,普洱市宁洱县同心乡那柯里村,101.046848999999990,22.917449999999999,101.038978000000000,22.913896999999999,彝族|哈尼族
573,普洱市思茅区龙潭乡龙潭村南本小组,100.665651999999990,22.682478000000000,100.658199999999990,22.679399000000000,
574,临沧市沧源县勐角乡翁丁村,99.170691000000005,23.284223000000001,99.163269000000000,23.281050000000000,彝族|傣族|佤族|拉祜族
575,临沧市凤庆县鲁史镇鲁史古集村,100.010474000000000,24.850102000000000,100.002829000000010,24.847283999999998,
576,临沧市凤庆县鲁史镇沿河村,99.997161000000006,24.828199999999999,99.989626999999999,24.825237999999999,
577,临沧市临翔区博尚镇大勐准委会勐准组（村）,100.042469000000000,23.733474000000001,100.034778000000000,23.730298000000001,布朗族
578,临沧市临翔区博尚镇碗窑村碗窑组,100.038798000000000,23.761265999999999,100.031093000000000,23.758141999999999,布朗族
579,临沧市临翔区博尚镇永和村委上永和村,100.068686000000000,23.700977000000002,100.061004000000000,23.697351999999999,布朗族
580,临沧市临翔区平村乡那玉村委东岗村,100.249422000000000,23.655142999999999,100.241822000000000,23.652030000000000,
581,临沧市临翔区章驮乡勐旺村委勐旺大寨,100.042118000000000,23.954267000000002,100.034411000000010,23.951170000000001,布朗族
582,楚雄彝族自治州姚安县光禄镇西关村,101.202824000000010,25.593026999999999,101.194745000000000,25.590093000000000,彝族
583,红河哈尼族彝族自治州建水县官厅镇苍台村,102.705501000000000,23.313375000000001,102.697649000000000,23.309978000000001,彝族|哈尼族
584,红河哈尼族彝族自治州建水县西庄镇团山村,102.773501000000000,23.651741999999999,102.765489000000000,23.648669000000002,彝族|哈尼族
585,红河哈尼族彝族自治州泸西县永宁乡城子村,103.689519000000000,24.363394000000000,103.681175000000000,24.360091000000001,彝族|哈尼族
586,红河哈尼族彝族自治州弥勒县西三镇可邑村,103.373299000000000,24.519566999999999,103.364676000000000,24.516607000000000,彝族|哈尼族
587,红河哈尼族彝族自治州弥勒县西三镇腻黑村,103.391602000000010,24.554628999999998,103.382960000000000,24.551721000000001,彝族|哈尼族
588,红河哈尼族彝族自治州石屏县宝秀镇郑营村,102.409611000000000,23.750211000000000,102.401521000000000,23.746931000000000,彝族|哈尼族
589,文山壮族苗族自治州麻栗坡县董干镇新寨村委城寨村,105.203515999999990,23.478386000000000,105.194000000000000,23.475196000000000,苗族|壮族
590,西双版纳傣族自治州景洪市基诺族乡洛特老寨村,101.090881999999990,22.064529000000000,101.082832000000000,22.061401000000000,傣族|基诺族
591,西双版纳傣族自治州景洪市勐罕镇曼春满村,100.951088000000000,21.856299000000000,100.943507999999990,21.853100999999999,傣族
592,西双版纳傣族自治州勐腊县易武乡十字街村,101.477611000000000,21.984238000000001,101.469481000000000,21.981207000000001,傣族
593,大理白族自治州大理市太邑乡者么村委大村,100.213708999999990,25.667490000000001,100.206169000000000,25.664248000000001,白族
594,大理白族自治州大理市喜洲镇喜州村,100.137224000000000,25.856047000000000,100.129368000000000,25.853327000000000,白族
595,大理白族自治州大理市喜洲镇周城村,100.114061000000010,25.901921999999999,100.106286999999990,25.898916000000000,白族
596,大理白族自治州剑川县金华镇剑川古城,99.910813000000005,26.533781999999999,99.903312000000000,26.531815999999999,白族
597,大理白族自治州剑川县沙溪镇寺登村,99.856627000000003,26.325209999999998,99.849211999999994,26.322565999999998,白族
598,大理白族自治州祥云县禾甸镇大营庄村,100.810401000000000,25.634962999999999,100.802781999999990,25.631764000000000,白族
599,大理白族自治州祥云县禾甸镇旧邑村,100.747142000000000,25.564138000000000,100.739346000000000,25.561457000000001,白族
600,大理白族自治州祥云县云南驿镇云南驿村,100.692870000000000,25.394013000000001,100.685332000000000,25.390763000000000,白族
601,大理白族自治州永平县博南镇曲硐村,99.536951999999999,25.425020000000000,99.529467999999994,25.422357999999999,白族
